Step,Rg,Re,epsilon,label
0,14.408949901492228,48.9311821203766,0.5,1
100,14.399866704481203,48.6757735300227,0.5,1
200,14.232662560937772,47.3227439278072,0.5,1
300,13.931499715973901,46.0964763868712,0.5,1
400,13.522855488611093,44.20790586972689,0.5,1
500,13.03028526904918,42.2821160102822,0.5,1
600,12.485793165744099,40.06757874289,0.5,1
700,11.91228486642422,37.6122331236476,0.5,1
800,11.319813008999574,34.9565708147985,0.5,1
900,10.700758016396067,32.1556116637603,0.5,1
1000,10.060654117124612,30.0292574339574,0.5,1
1100,9.408298367801114,27.468926611342496,0.5,1
1200,8.748463677785624,24.3315670644404,0.5,1
1300,8.067818680089248,21.4098185843211,0.5,1
1400,7.391697186912869,18.720503567813,0.5,1
1500,6.732203457874065,16.6866188801168,0.5,1
1600,6.066647356606569,15.2765209541193,0.5,1
1700,5.4166145395241925,13.7686827986206,0.5,1
1800,4.787655161618374,12.0025550648067,0.5,1
1900,4.171934000376553,10.1282732392225,0.5,1
2000,3.617636443808892,8.174940079131138,0.5,1
2100,3.1312080688931614,6.60954259157111,0.5,1
2200,2.7310320061794955,5.544082619726329,0.5,1
2300,2.4314219913899158,4.5970807560606,0.5,1
2400,2.3269903331795647,3.9402676365704896,0.5,1
2500,2.4779399040959085,4.181926629013089,0.5,1
2600,2.652793853493076,4.99627937676399,0.5,1
2700,2.777671130926884,5.10347125163367,0.5,1
2800,2.85652477322929,5.62727928680706,0.5,1
2900,2.92114562590524,6.452767930965329,0.5,1
3000,3.0246277797901544,7.13977575419828,0.5,1
3100,3.083815706098548,8.17910733416172,0.5,1
3200,3.12200172131046,9.5277288486538,0.5,1
3300,3.203678380133835,10.6566451890763,0.5,1
3400,3.340231732674435,11.0902448146387,0.5,1
3500,3.457725877877604,10.9756298114365,0.5,1
3600,3.526935482690704,10.4738073233756,0.5,1
3700,3.535122805043119,10.1181899422537,0.5,1
3800,3.5475629757735545,9.80365313579288,0.5,1
3900,3.5917858005305026,9.41493390933625,0.5,1
4000,3.557284064922109,9.16250368768703,0.5,1
4100,3.4790921976599005,8.89369103797905,0.5,1
4200,3.41052589167228,9.142737373078328,0.5,1
4300,3.2935429674516774,9.5374013539223,0.5,1
4400,3.1628223504617305,10.0534078509252,0.5,1
4500,3.091118967719288,9.726062264162529,0.5,1
4600,2.967180800441231,8.79222235688807,0.5,1
4700,2.7946290593644214,7.946808387356169,0.5,1
4800,2.7029497008163768,7.316238334587649,0.5,1
4900,2.615683205684861,6.57387975552727,0.5,1
5000,2.5704288322909647,6.61832611027168,0.5,1
5100,2.5177733645614624,6.93520124634184,0.5,1
5200,2.516669438286724,7.2155805458424895,0.5,1
5300,2.547070428353396,7.429863799799379,0.5,1
5400,2.5673555666192276,7.532685064786179,0.5,1
5500,2.6143844808149024,7.74724061541791,0.5,1
5600,2.6290922231466385,7.870892483003191,0.5,1
5700,2.664359502113672,7.428402814961809,0.5,1
5800,2.658924100123536,6.4986848905825,0.5,1
5900,2.719967231436636,6.71466253787003,0.5,1
6000,2.839691749040617,6.87857361031023,0.5,1
6100,2.9362000166316538,6.90545185230375,0.5,1
6200,2.9578232711581176,7.552502667100979,0.5,1
6300,3.006407546171728,8.16426316059087,0.5,1
6400,3.0721484204363536,8.58945809483656,0.5,1
6500,3.1924621677513576,8.10270716382686,0.5,1
6600,3.2775309282378746,7.64338348676617,0.5,1
6700,3.326400288043639,7.55799125488225,0.5,1
6800,3.3734372378871265,7.454923267880118,0.5,1
6900,3.436167370320113,7.66997425323711,0.5,1
7000,3.4565157743638903,7.23213032746787,0.5,1
7100,3.482466409941176,7.56102651424853,0.5,1
7200,3.548088490119086,7.890353276707389,0.5,1
7300,3.57205464870302,8.397895637116969,0.5,1
7400,3.5758825815079835,8.44182217677221,0.5,1
7500,3.562258139802712,7.92189192659407,0.5,1
7600,3.610056530962332,8.35849411697981,0.5,1
7700,3.668105229434144,9.198504827590579,0.5,1
7800,3.658738089068735,8.879097791082819,0.5,1
7900,3.654879150414004,8.72192978773239,0.5,1
8000,3.656231220111291,9.15882649465648,0.5,1
8100,3.613814546759432,9.3806198963205,0.5,1
8200,3.5268338701845163,8.97513571230987,0.5,1
8300,3.397387433576581,8.61663302897105,0.5,1
8400,3.315353105997894,8.64895632102479,0.5,1
8500,3.2707087241757424,8.60821866849084,0.5,1
8600,3.210969564764136,8.00024787768992,0.5,1
8700,3.1565867492758017,7.675694257396221,0.5,1
8800,3.12804241776915,7.662300471162719,0.5,1
8900,3.144702415269724,8.37633760740165,0.5,1
9000,3.172002762051572,9.09633947535492,0.5,1
9100,3.237518001534587,9.815973238046489,0.5,1
9200,3.2555478644688685,10.2141088236651,0.5,1
9300,3.2070069198174846,10.1858292438953,0.5,1
9400,3.118500663002028,10.0325576585568,0.5,1
9500,3.04766237657844,9.673272139541021,0.5,1
9600,2.9714839650409806,8.75759889676918,0.5,1
9700,2.9100371260927007,8.03563916906343,0.5,1
9800,2.872775255687328,7.413324613334319,0.5,1
9900,2.8703004315993974,6.46444311888418,0.5,1
10000,2.911018706708152,5.8062825309046895,0.5,1
10100,2.9374852549128128,5.0679963974046895,0.5,1
10200,2.9247276617433897,4.76424346514983,0.5,1
10300,2.920211979973035,4.285932224694729,0.5,1
10400,2.9487576599709326,3.63980334320414,0.5,1
10500,2.929455564425606,3.19652484089314,0.5,1
10600,2.884981966820252,2.85144967897582,0.5,1
10700,2.8415815733982255,3.65847700846696,0.5,1
10800,2.835177649839517,3.2249226705485095,0.5,1
10900,2.875591107798527,2.42745906393591,0.5,1
11000,2.990385549385659,2.4638675518404094,0.5,1
11100,3.078863787836856,1.95476074050304,0.5,1
11200,3.154447662433593,2.45444867722599,0.5,1
11300,3.236193346760025,2.9047316063308095,0.5,1
11400,3.2838580735006633,3.3515053322230095,0.5,1
11500,3.277334598079241,3.2205800990423494,0.5,1
11600,3.2674085447015315,3.30522232798517,0.5,1
11700,3.269586094817584,4.27673746482364,0.5,1
11800,3.2368860754018143,3.98869909379188,0.5,1
11900,3.203200224862518,3.9921377721287494,0.5,1
12000,3.154013986054394,4.0292545385777,0.5,1
12100,3.1763565577651045,4.24694081910719,0.5,1
12200,3.223905881467179,5.21598477074871,0.5,1
12300,3.2293082110823,5.7384475547133,0.5,1
12400,3.2023944340433137,6.30251214993931,0.5,1
12500,3.18268464600491,7.14070090705261,0.5,1
12600,3.1219504392080406,7.577410480065021,0.5,1
12700,3.0321619426761,7.689836220765499,0.5,1
12800,2.9606489308453288,8.275019362501219,0.5,1
12900,2.8667995031377327,8.01577944925594,0.5,1
13000,2.8064623549116265,7.874223865540759,0.5,1
13100,2.800681954883296,8.03260302913505,0.5,1
13200,2.8860508520516643,8.188243251960998,0.5,1
13300,2.9535364430255626,8.55871038331991,0.5,1
13400,2.9336123326434134,9.4433132942549,0.5,1
13500,2.8165631850836634,9.12483175189517,0.5,1
13600,2.695506171702543,8.622677004483458,0.5,1
13700,2.5557692643212664,7.595284100728061,0.5,1
13800,2.4317451851552288,6.88443540353353,0.5,1
13900,2.385279025053753,6.08664967952906,0.5,1
14000,2.348994446568861,5.40003504452208,0.5,1
14100,2.3443787334219155,4.94522925095963,0.5,1
14200,2.370889629819797,4.55156488865644,0.5,1
14300,2.5068600994229038,4.57223361363416,0.5,1
14400,2.646600126276096,4.901420861726169,0.5,1
14500,2.7618015333228008,6.6071297052133,0.5,1
14600,2.797594607640579,7.72169549528095,0.5,1
14700,2.8432200811029964,8.75459902137363,0.5,1
14800,2.8343842875645335,9.19273512089849,0.5,1
14900,2.8018910830918164,9.54974126603343,0.5,1
15000,2.785858953476055,9.93612391253572,0.5,1
15100,2.74480443961579,10.0001043880015,0.5,1
15200,2.687218342900988,9.769704744732739,0.5,1
15300,2.6299734514155495,8.1139765268915,0.5,1
15400,2.600221976762125,7.25092343670359,0.5,1
15500,2.64683576824292,7.00099778246087,0.5,1
15600,2.7737563157026384,7.884698458606918,0.5,1
15700,2.839827414060008,8.30235864329274,0.5,1
15800,2.8472043941473406,8.27860349044265,0.5,1
15900,2.8536072620951938,7.87710156773747,0.5,1
16000,2.8808689447066262,7.02973430541218,0.5,1
16100,2.9293389941799015,6.48867355408831,0.5,1
16200,3.0002961627852938,6.30668813181164,0.5,1
16300,3.058299806059661,6.14125439882911,0.5,1
16400,3.091803756309416,5.8868527442311,0.5,1
16500,3.1536027850729407,6.07316073520286,0.5,1
16600,3.169934047236582,6.7752348552837,0.5,1
16700,3.155214324554499,6.91302612715149,0.5,1
16800,3.1539213522276124,7.15791045450941,0.5,1
16900,3.1956946727187225,7.33734258472125,0.5,1
17000,3.2530435052478603,7.20195897941722,0.5,1
17100,3.303231958504565,7.4911344609821695,0.5,1
17200,3.3397553051745623,8.24338597252746,0.5,1
17300,3.3430461574329167,8.383341403749379,0.5,1
17400,3.368982455298854,8.87072156036742,0.5,1
17500,3.4729069740929965,9.741059485419727,0.5,1
17600,3.539547831379864,9.812510015291101,0.5,1
17700,3.621866487565353,10.3352304772294,0.5,1
17800,3.7529407292683374,11.1938915618953,0.5,1
17900,3.8506824624086953,11.2913868897817,0.5,1
18000,3.9772586206034486,11.8805443333365,0.5,1
18100,4.0759397328655895,12.0221986737239,0.5,1
18200,4.108781542270696,11.9370112366256,0.5,1
18300,4.148246009860225,11.9887501986565,0.5,1
18400,4.134052314137429,12.2441028534672,0.5,1
18500,4.102232799328228,11.7389636378272,0.5,1
18600,4.078880603022414,11.9738151381033,0.5,1
18700,4.07408735063819,11.1255834556763,0.5,1
18800,4.029087099762792,10.7707875478324,0.5,1
18900,3.995501517441672,10.7037650096243,0.5,1
19000,4.005023045934704,10.6594478886547,0.5,1
19100,4.012834164546425,10.766537367137,0.5,1
19200,4.004551774336808,10.5898362986871,0.5,1
19300,4.017614300067488,10.4660937733496,0.5,1
19400,3.975340340058601,10.3482650433328,0.5,1
19500,3.8873480545673034,10.3666072203105,0.5,1
19600,3.810617473100792,10.7157135222412,0.5,1
19700,3.75807606107986,11.6228583310311,0.5,1
19800,3.7437574993485896,11.8527995381335,0.5,1
19900,3.7126387573188615,12.0058155621779,0.5,1
20000,3.6700184426659233,11.0526796087146,0.5,1
20100,3.639385534735644,10.6487989444081,0.5,1
20200,3.5931808874607114,10.3316543001708,0.5,1
20300,3.5778404517296414,9.44460936512395,0.5,1
20400,3.5501922140560978,9.186973239908887,0.5,1
20500,3.5440802168114165,9.2594151136414,0.5,1
20600,3.568626448988407,9.72854363649991,0.5,1
20700,3.570753562835878,10.1341553065639,0.5,1
20800,3.584436588388059,9.876480509570047,0.5,1
20900,3.582014516781224,8.904643785213148,0.5,1
21000,3.5914462443130764,7.8243546349818,0.5,1
21100,3.596507683604952,7.512695610593619,0.5,1
21200,3.6423742204976666,7.275694569173709,0.5,1
21300,3.630204460464088,6.75946502448415,0.5,1
21400,3.572265575942565,6.3567463156732,0.5,1
21500,3.481436913301408,6.1565307289081295,0.5,1
21600,3.381776217553505,6.37077061875906,0.5,1
21700,3.304103252208836,6.4820365354801295,0.5,1
21800,3.2731792063967022,6.28914455731929,0.5,1
21900,3.27524511245013,6.1056122021942,0.5,1
22000,3.282656012363423,6.29915787491541,0.5,1
22100,3.2437607777267985,6.71875588195986,0.5,1
22200,3.1901828165083,7.07657527408181,0.5,1
22300,3.17325996799301,7.70335732423075,0.5,1
22400,3.1239281855862555,7.701302021020669,0.5,1
22500,3.11544063813392,7.901665058913741,0.5,1
22600,3.1277270763948968,8.24962517709492,0.5,1
22700,3.1977530792399005,8.03736560588166,0.5,1
22800,3.2879850299972384,8.08379001464825,0.5,1
22900,3.36265584889666,8.31904054880953,0.5,1
23000,3.405530343944056,7.947061023672819,0.5,1
23100,3.4532077123518654,8.34249721653598,0.5,1
23200,3.4671376790634416,8.50997671043027,0.5,1
23300,3.487943707638024,8.43668989630786,0.5,1
23400,3.5096899485406863,9.0596213191122,0.5,1
23500,3.521278264923464,8.63188300756672,0.5,1
23600,3.5370318166433488,9.29363633231307,0.5,1
23700,3.551493002671807,9.60382380299792,0.5,1
23800,3.608970129313089,10.0911816987453,0.5,1
23900,3.675852762961248,10.4747183970935,0.5,1
24000,3.743944243758571,10.2109778243634,0.5,1
24100,3.796335153142023,9.738498102068307,0.5,1
24200,3.8030160223762066,10.2264304854851,0.5,1
24300,3.832676402573016,10.9728522154056,0.5,1
24400,3.9083891766702386,10.9873362539439,0.5,1
24500,3.9551116836256592,11.1942226944951,0.5,1
24600,3.9807204203695097,12.058707803463,0.5,1
24700,4.049462060405079,12.5993267474663,0.5,1
24800,4.150111773231697,12.240095840313,0.5,1
24900,4.295759023746112,11.7782803177378,0.5,1
25000,4.446219300196953,13.0058419560305,0.5,1
25100,4.5925404111940775,13.424624236155,0.5,1
25200,4.710355776928805,13.4809866479216,0.5,1
25300,4.7820030321837645,14.5044310584255,0.5,1
25400,4.861094146382849,14.8719255623517,0.5,1
25500,4.935807076137195,14.5491999324833,0.5,1
25600,5.020979788509919,14.6300577909321,0.5,1
25700,5.081228008921953,14.4842946290888,0.5,1
25800,5.124973727217632,14.2774848984693,0.5,1
25900,5.175266724656982,14.8960514530524,0.5,1
26000,5.23473482647459,15.3695747390159,0.5,1
26100,5.273197194411919,16.3796176879016,0.5,1
26200,5.282065628207855,16.7364332379527,0.5,1
26300,5.277207164749451,16.3863485127927,0.5,1
26400,5.291656384667511,16.1896589178718,0.5,1
26500,5.264348237271526,16.1345647180955,0.5,1
26600,5.186981753914166,16.2066683436004,0.5,1
26700,5.104407568408086,16.3074752572498,0.5,1
26800,5.011522128961973,16.0571084507307,0.5,1
26900,4.8948778978958245,15.3186356020604,0.5,1
27000,4.790941470160324,14.6889817177431,0.5,1
27100,4.676454733276984,14.384918786792,0.5,1
27200,4.531908132908104,13.9860485226688,0.5,1
27300,4.365195741079831,12.8443828964753,0.5,1
27400,4.188675916076368,12.0362363699443,0.5,1
27500,4.034115128199554,12.0287253378852,0.5,1
27600,3.9033953109831576,11.9055878707769,0.5,1
27700,3.7560638299108455,11.2486510593562,0.5,1
27800,3.5985586909474323,10.5882789353417,0.5,1
27900,3.466298324896292,9.547884363980208,0.5,1
28000,3.3688399029816622,8.49671645871863,0.5,1
28100,3.3027085591415184,7.86172965694281,0.5,1
28200,3.2025904551017055,7.360120163170999,0.5,1
28300,3.1026337971301463,6.47428183719491,0.5,1
28400,3.001150238759521,6.84600835381912,0.5,1
28500,2.905429402705775,7.38962239907067,0.5,1
28600,2.8368496744632123,6.66321761699192,0.5,1
28700,2.8419852993978845,6.600502253496329,0.5,1
28800,2.853591855255504,6.29001166056041,0.5,1
28900,2.946144555008643,7.215938007948461,0.5,1
29000,2.9946020153683377,7.8219808290769794,0.5,1
29100,2.9749056648814904,7.885355293497169,0.5,1
29200,2.957808481225288,7.80010247662773,0.5,1
29300,2.9606858250772055,7.50801824294452,0.5,1
29400,2.9738033610080703,7.36995829467247,0.5,1
29500,2.960042769569225,7.3477495003535696,0.5,1
29600,2.9535764339696913,7.1650352854288,0.5,1
29700,2.9864725813716264,7.821778149955539,0.5,1
29800,3.0180853624534727,8.29626155207144,0.5,1
29900,3.018235543079756,8.521424940342078,0.5,1
30000,3.002781785633592,8.51937104538358,0.5,1
30100,3.009573696244297,9.28289698224343,0.5,1
30200,3.0467286940572462,9.65880552263156,0.5,1
30300,3.042960155448383,9.39507389747624,0.5,1
30400,3.056899200591063,9.531382087300008,0.5,1
30500,3.1439887573825764,10.328879309133,0.5,1
30600,3.253890051142484,9.133997542055,0.5,1
30700,3.3595621722729128,8.67049726142624,0.5,1
30800,3.4215215961426213,8.57553662027173,0.5,1
30900,3.4305615098995847,8.90196016052671,0.5,1
31000,3.43017738860652,9.98533477437949,0.5,1
31100,3.430909989924689,11.0776828934336,0.5,1
31200,3.377034015815597,10.8835996613438,0.5,1
31300,3.3449422954332695,10.1415801061679,0.5,1
31400,3.2287164318612125,9.475348439278807,0.5,1
31500,3.063292402647755,8.61135854988105,0.5,1
31600,2.9413762992425005,8.076927748169668,0.5,1
31700,2.8449830798721494,7.01946802048418,0.5,1
31800,2.739969355205199,6.37920190399334,0.5,1
31900,2.6467952373865566,6.05192240982786,0.5,1
32000,2.537528191296831,5.89782807790244,0.5,1
32100,2.5394533708375318,5.75027370726407,0.5,1
32200,2.55678017090826,5.28925542000059,0.5,1
32300,2.6882814329784974,6.017865515814409,0.5,1
32400,2.8903557844250005,6.95137414436896,0.5,1
32500,3.0641338774233615,7.12204046694059,0.5,1
32600,3.2285360187288488,7.58540433059387,0.5,1
32700,3.3353413273046897,7.55231773805483,0.5,1
32800,3.4023167408313313,6.577684493415689,0.5,1
32900,3.484044350268777,5.89330529982704,0.5,1
33000,3.5409978934616744,6.0360358767593,0.5,1
33100,3.61407631387006,6.32798326075659,0.5,1
33200,3.655432860013765,7.09647089985704,0.5,1
33300,3.6736340394939937,7.496795026750398,0.5,1
33400,3.6902389135297247,7.896273131473331,0.5,1
33500,3.7458050270577057,8.09694654074881,0.5,1
33600,3.7680205271948246,7.71266346897633,0.5,1
33700,3.800465358978028,7.299383444519661,0.5,1
33800,3.864800890934863,7.500709587120839,0.5,1
33900,3.9462296977338265,8.29820521850228,0.5,1
34000,4.011560508287026,8.977640645173649,0.5,1
34100,4.087318095959051,8.94396030336397,0.5,1
34200,4.14159881751744,9.350625444539821,0.5,1
34300,4.204560702796066,9.95817084805227,0.5,1
34400,4.2834445944664905,10.1733261493433,0.5,1
34500,4.359703397048062,9.945484577199021,0.5,1
34600,4.476956357562761,9.26367243259056,0.5,1
34700,4.581041900782729,9.042101407874702,0.5,1
34800,4.628715237704492,9.650587422903028,0.5,1
34900,4.709084110079857,10.2509012586084,0.5,1
35000,4.807483198331987,10.1639064728413,0.5,1
35100,4.879938562385199,10.5833659715608,0.5,1
35200,4.923930749842521,11.2845000463039,0.5,1
35300,4.932143831743518,11.7368128788626,0.5,1
35400,4.8692531959912895,12.0374055751661,0.5,1
35500,4.800792405346141,13.0840849852706,0.5,1
35600,4.760156221761793,13.7421870983553,0.5,1
35700,4.727160353457821,13.2487921578541,0.5,1
35800,4.677467243831988,13.7129625598379,0.5,1
35900,4.658773161894426,14.1677849154384,0.5,1
36000,4.650157290346908,13.7734889453313,0.5,1
36100,4.635254512839696,13.6089233175423,0.5,1
36200,4.657055726069246,13.5831871528215,0.5,1
36300,4.62820681631447,13.795958973334,0.5,1
36400,4.571858943670413,13.4894950620317,0.5,1
36500,4.5312234802765845,12.8867117109778,0.5,1
36600,4.472557579544932,12.7463939123371,0.5,1
36700,4.391517601672519,13.1039779638733,0.5,1
36800,4.350547811402726,12.4294554653344,0.5,1
36900,4.322252745551143,11.9414406845985,0.5,1
37000,4.252519982896362,12.3306659469007,0.5,1
37100,4.186393962681569,11.8667537799704,0.5,1
37200,4.115782578882771,11.5795215279708,0.5,1
37300,4.018724734731336,11.5708080909035,0.5,1
37400,3.964378455617476,11.7242387969735,0.5,1
37500,3.88106411598116,11.0057403722378,0.5,1
37600,3.737668287682393,9.67676447663928,0.5,1
37700,3.5888689906904574,8.68366432132587,0.5,1
37800,3.444839599055692,7.6383482541874494,0.5,1
37900,3.308906450254232,6.77670097990412,0.5,1
38000,3.1768034729519745,6.3830509969791,0.5,1
38100,3.025943575343359,6.51828057110349,0.5,1
38200,2.825631226846443,6.71412267146238,0.5,1
38300,2.658035773784417,7.204961560375369,0.5,1
38400,2.5617345337663004,7.915654552000139,0.5,1
38500,2.506627616348257,7.827772371872849,0.5,1
38600,2.4532794013037647,6.64548441973972,0.5,1
38700,2.439589372770798,6.64351069380172,0.5,1
38800,2.5309304640964823,7.395088080194461,0.5,1
38900,2.563565291250862,7.55240140570624,0.5,1
39000,2.5766733442148326,7.9745504556528894,0.5,1
39100,2.6523710393329534,8.430014388231289,0.5,1
39200,2.698367332546049,8.37138022540197,0.5,1
39300,2.753968950211653,7.6036184325404195,0.5,1
39400,2.7941138984401217,6.18465096818616,0.5,1
39500,2.8224251559501887,4.96740927591364,0.5,1
39600,2.8764616081024865,3.64656020347335,0.5,1
39700,2.9188207538833466,3.22038270392694,0.5,1
39800,2.9010337624680886,3.63226613578028,0.5,1
