Step Rg Re
0 14.36058918814362606 48.765721866175198329
100 14.349356745654862522 48.475827432754698521
200 14.175342846077253256 46.937103675582100948
300 13.859088877322845335 44.935489087476803149
400 13.425617207516845397 42.833199010114796579
500 12.879992819506979274 39.95946187577219888
600 12.271765307253085453 36.691240865448797592
700 11.621167867775035631 33.861366829609998774
800 10.929745459679949704 31.282156756017801769
900 10.191355282273361738 28.51312137716899997
1000 9.4124665908927500624 25.784531343064099218
1100 8.5944355870616977455 23.714995714082000688
1200 7.7599805757268329742 20.923957381942599909
1300 6.9730738144679627055 18.815976282691298849
1400 6.1501239687721751537 17.191769277724500142
1500 5.2878515466805513512 14.883565734339899933
1600 4.3761513607242736867 11.76815445923429948
1700 3.6199300543586176993 10.874954466404000542
1800 2.9604917684926745913 8.5512804626597205271
1900 2.5992890339909804354 6.5090344146637404421
2000 2.5199539406933970653 4.8639503883552199781
2100 2.4722551384533941743 3.513199927555489932
2200 2.3122654857288367225 1.9272830154682700776
2300 2.1971014983138763554 3.1384272159535799851
2400 2.2310505840492744767 2.6270084197400600523
2500 2.2320544652717142498 3.2368337344409598977
2600 2.2192695012888754569 3.4247123409151498663
2700 2.2761893785311788641 2.8782982830807499752
2800 2.1736471567760435875 3.5244817769489698023
2900 2.3317389802168722035 2.8800889725249598783
3000 2.4388999691106834078 2.6174182562907901684
3100 2.3418754119362152899 2.7413084482118001972
3200 2.2955794697301961094 3.9138660039929900059
3300 2.3236743101832271208 3.9029305975997101719
3400 2.315073017108999931 4.4530329438862104041
3500 2.3643278899299073892 5.206229124022190291
3600 2.2736821453872764209 5.6790898157703999516
3700 2.1958854769188156375 4.9209050925539701282
3800 2.1380614363443855019 5.07744915266713992
3900 2.018075604028203518 5.6019968317270398828
4000 2.1115455431184328994 4.300654895932789934
4100 2.0873236819744893644 4.3975277435800297354
4200 2.0460187122668971327 2.7619091141939500211
4300 2.1702308177643097054 1.4763802360787599
4400 2.264316307221310165 1.6239438165022399563
4500 2.1977349353237767282 2.2581930503727400961
4600 2.2317260424489844262 3.032123885603649871
4700 2.2011155759367713181 3.5547917737588301534
4800 2.1832464202841763701 3.2496977923854299952
4900 2.0731530989520225994 2.707959887581299796
5000 2.0497652774512804541 1.9071588079407499894
5100 2.2277188686269600026 2.9437339543106197937
5200 2.2469973238710116981 3.492131665632849824
5300 2.4003540306635953172 4.2991844285002596138
5400 2.4094228884601731622 4.2643429527569800541
5500 2.2176424544006492212 4.0349377616277601888
5600 2.0312229981605267604 2.6535795518308900043
5700 2.0292367973382559043 2.2023045141047101758
5800 2.0660552412872461581 2.5707741601047300328
5900 2.0497773081598049671 3.1761320500544800716
6000 2.0191404879386309901 2.2279618370002900463
6100 2.0873423330804765641 3.0983893344414399351
6200 2.0950276228827187097 4.4698770984438898068
6300 1.9502123568989169211 4.3449890961345101204
6400 2.0064726153396961195 4.2693939558455999972
6500 2.0389990273597007331 3.3350398994155399102
6600 2.0584979401015504052 3.1259246659257100553
6700 2.0432778955462782555 3.2460232613092498966
6800 2.0253656201768786005 2.8906482213936000036
6900 2.0449820669678953067 3.593203737316939872
7000 2.1359896416794184049 3.8064195295216700643
7100 2.1730957124567664707 3.9162307950365700115
7200 2.2049492956551230982 4.2117743807036296388
7300 2.1093111086612701399 3.830601254890880103
7400 2.1469498537164675156 4.7759375381892503754
7500 2.1324264352162982661 4.5519207945468398435
7600 2.2082588067775210661 5.0248670303156997008
7700 2.110210091303450497 3.8697457000479298372
7800 2.0910137631628575861 3.8288925569149800943
7900 2.0898175070829902999 4.8858113543014800584
8000 2.0722737786487517297 4.6795343862173801597
8100 2.0529817179052920473 5.5501527901166696211
8200 2.1308535069451361998 6.1793487411997496395
8300 2.2013487481779097088 5.79078218309247994
8400 2.2153073511730836387 3.851027982579279918
8500 2.1223755660846266302 2.0881326480386999123
8600 2.1053304064240916382 1.8673581310005600287
8700 2.1082348744062469059 2.8174881633045800733
8800 2.1305545909386016667 2.5483688069870398252
8900 2.0817869016181651531 2.1934036789685600333
9000 2.018849892792431433 2.1490881132365999839
9100 2.0940237009401334589 2.4471660866674800339
9200 2.0063924532800325728 2.0056275446168601029
9300 1.9371082230848828409 2.728749567135429821
9400 1.9946265141037868851 2.3011270811751298737
9500 1.9694396613760405401 1.1270115725477700686
9600 1.9977760692839952039 1.3986558284566199539
9700 2.0521203260070777219 1.053868316187289933
9800 1.9416956371193672126 1.1055397150482100255
9900 1.986976815841643873 1.6347226825961500563
10000 2.0469815650801517215 2.5403892218221502119
10100 2.0373481939861446399 3.2428778734740699718
