Step Rg Re
0 14.382589327430448378 48.848357066634001455
100 14.373740990427080533 48.585289223271097114
200 14.206431021696824146 47.190906919850903023
300 13.903749305216152266 45.742721944827600566
400 13.492297274813410013 44.019915558908898845
500 12.989126213003229893 42.030649318322197416
600 12.427423575148226931 39.932897653917699188
700 11.826556306881951031 37.569118413792097044
800 11.201015048120483542 34.943197003764197461
900 10.544039064865955879 31.778750623670099174
1000 9.8692377180530996839 29.050023189314298833
1100 9.1634598954144355076 26.264777223621198488
1200 8.4476591937912619557 24.138870003555400245
1300 7.7156247333441623226 21.55570572017909825
1400 6.9892538261338792438 19.529794767782099996
1500 6.2375578228216204124 16.947010104088398919
1600 5.473455692582782639 14.216637004187299809
1700 4.7471014016113315392 11.004230805527800641
1800 4.0187920323558419256 8.7497998503710707752
1900 3.3075533703368376059 6.163413111395530386
2000 2.7878017899582516748 5.736866286288989869
2100 2.438144225735678905 4.4950156854380098892
2200 2.2429144464845554019 3.0747864898418901802
2300 2.201035769423837607 2.7870976790198698225
2400 2.3751502581448451501 3.1263149589308700804
2500 2.4860452590097801284 4.1140790751796902924
2600 2.5864016472136164282 4.9917651769997197775
2700 2.5946785182220688526 4.2933033201622796682
2800 2.6258049062591157785 3.9645369147174198687
2900 2.6756250711196432057 4.4138722237399399262
3000 2.6229204729586390599 3.4929023063472901534
3100 2.6167547433231197473 3.5386564948510499384
3200 2.5393291359603020751 3.6917937609051798553
3300 2.3958173337723711604 2.5221292042874998707
3400 2.3693415913162789721 1.8817279860827300642
3500 2.4165676263008619706 2.4044122882079799197
3600 2.4234424989116352123 1.8933054195290499599
3700 2.4176300425972176988 2.6685141392362101698
3800 2.3334969748462341954 2.1792990714974500577
3900 2.2666808044414996637 1.8881466397522699285
4000 2.2598979762318052167 2.2821959784172398678
4100 2.2619481084923163117 2.4021453437751598692
4200 2.2704536074140144741 4.4655596989729202662
4300 2.3243127316290803641 3.7449905033520001219
4400 2.3224440804206203381 4.2057474361536497653
4500 2.2732471067785038343 4.4113913134336195654
4600 2.3267550905749287971 3.7688430101791499105
4700 2.3594011012912030623 3.3472759041600301799
4800 2.320226126971821401 3.8830188317672700293
4900 2.4229026183303368214 4.1893439101684499803
5000 2.3448643535162929652 3.8070359587515398836
5100 2.3099164500970554847 3.4499753237725698796
5200 2.3016996340724102943 2.4068404988733598238
5300 2.2698888265203489567 2.3376815722627801719
5400 2.1195443076440447783 2.6665908923737799974
5500 2.0935137362489779633 2.5845033470260299069
5600 2.1031362900356413981 2.7621535320615100417
5700 2.2204357154330773838 2.9141916456819498826
5800 2.2832634976378258784 2.7554371283045702157
5900 2.325541903763003404 3.6473591619109599904
6000 2.346448344877351655 3.9099502438971098783
6100 2.3209026659018427985 3.4395007258842800191
6200 2.2607760392243179126 4.162600467419410144
6300 2.260926251874779247 4.5564994185163598672
6400 2.244502900567014958 5.5059276651359496668
6500 2.3168781401825291333 5.6969633926761700238
6600 2.4484079808248551124 6.1622475387503703459
6700 2.5394154002235134193 6.4475353931443901701
6800 2.5517473232098430991 6.3540169064855795966
6900 2.5163157060305922919 6.9616596174397598062
7000 2.5193402043619332886 6.3843616531799698421
7100 2.4249138415915374445 5.0926241868444499516
7200 2.3905683696493791324 6.3565376883683297748
7300 2.1849398800306034651 6.8169172420711596772
7400 2.1529702833742376811 7.0393094112643703752
7500 2.2608367486397416002 6.8844123451380196954
7600 2.4091544792187309376 6.3353013289286899123
7700 2.5179968684821250058 6.0655282674174699764
7800 2.5756991691207939965 6.7870610399743895869
7900 2.5868328538701708119 7.1314120238948497388
8000 2.4883297490616955727 6.3768326412561497918
8100 2.3320100884328534008 4.4590521474894702081
8200 2.2832146026774173819 4.2841140815214400206
8300 2.2736147849620551575 4.7125043275306603974
8400 2.2378315818087206601 5.540515793328910199
8500 2.3150373671212234328 6.4351542985148997289
8600 2.4272650200212377847 7.0103402921400403969
8700 2.4615278382917336053 6.244167645573649672
8800 2.394152931448546795 6.4539035198817602534
8900 2.350057746306907891 6.2806335277725802158
9000 2.2178604516596966967 5.1681414305321400349
9100 2.0723533796712096944 4.6469838952865902826
9200 2.1094750045474546241 3.0881031024514400407
9300 2.1333637433726355681 2.2576348111984501088
9400 2.1044832969140143675 2.2264535305697799039
9500 2.2055375179930605256 2.4014533486623399483
9600 2.1536937909691751258 2.1854820712585900644
9700 2.0306867565937487541 1.4587266111843899541
9800 2.1200970814536770348 1.215672311278719997
9900 2.1981514490397264794 1.2567797642806299852
10000 2.2090444074836788069 1.2008861840838600532
10100 2.1099813665212443503 1.0380770976571400688
10200 2.1608442249120844991 2.5951180041384298569
10300 2.1432026659736820307 3.4223134787104800836
10400 2.2306579405086179868 3.7984248668357101231
10500 2.2701075671280919188 3.5612647986141401368
10600 2.3190101940029004268 3.6079347441152100906
10700 2.3955329641870219959 3.7883481426921901125
10800 2.4367883453365304369 3.8012260254526899494
10900 2.380591202406078466 2.5220061792564298919
11000 2.3029777709604224434 2.66671516957226995
11100 2.3025715251728811062 3.3560566015576900334
11200 2.2589119431096245094 3.3639538705278000386
11300 2.2244706422316853356 3.6115177036645600417
11400 2.2965431877382727066 3.8228669631204801327
11500 2.3868021445094282917 4.1900186737278604099
11600 2.3202914937474603541 4.5930040126017601665
11700 2.1725477806476893861 4.2245637750770601571
11800 2.1606738860454091089 3.9883119087549401272
11900 2.2436285278677972066 4.938593258763080307
12000 2.3823916620391538679 5.1016959371261396683
12100 2.342091107455273935 4.6012314579148396732
12200 2.3413827272794289769 4.1502222858469899336
12300 2.254974439907182937 3.6391436125638398913
12400 2.1451453054137243903 3.4539176548556498325
12500 2.076666298077698869 3.3136842493564300227
12600 2.1765405124077830123 2.8111210995555100389
12700 2.1726009832063208904 1.9616027560282700559
