Step Rg Re
0 14.40017761974459809 48.903622879126800171
100 14.391178300850130611 48.64570085958600032
200 14.223959362739805101 47.279541262936298551
300 13.92238752783126543 45.993875248184302507
400 13.512621878625399319 44.132194433144796619
500 13.016453509717292647 42.19019062463839731
600 12.468312524891469906 40.007597361217300147
700 11.89023191668912105 37.475397816035396659
800 11.292458682777779089 35.03549138342690128
900 10.671266963784358239 32.611677809511000703
1000 10.036003300812575745 30.23672256872200137
1100 9.3824211884715058574 27.537768451903101408
1200 8.7188139108562818791 24.806867378498200338
1300 8.0395178541783636206 22.450173438670400827
1400 7.3602402295673243771 20.199537075004901254
1500 6.6849342797655770809 18.338835918433399996
1600 6.0043406019547980179 16.112348003100500193
1700 5.3516119592289790319 13.871350721877400147
1800 4.7180230977993948827 11.55525067618519941
1900 4.1158014942638496692 9.2775023975830901435
2000 3.5682075206216170571 6.8716202308017999556
2100 3.0750579711659056237 4.7158044152361897616
2200 2.6784467670213869539 3.0403799802342201808
2300 2.3968403293848261626 1.4875795488219600848
2400 2.2579789752159182825 1.7622933625724699347
2500 2.316365014791932353 2.2740241234551898941
2600 2.3219097840498132967 2.5368900142432599942
2700 2.305641779739489472 3.2951428821454697982
2800 2.2654067363323551199 4.1605019028519496516
2900 2.2291068466035461881 4.1721343930126897348
3000 2.341930190251028332 4.5981930947429399126
3100 2.3921766646520694621 3.6262644906034098291
3200 2.4088718923507057568 3.6981930281151500495
3300 2.3442303053130473245 2.7234076363597798931
3400 2.2486237312757366702 2.9008279998858399473
3500 2.2681592734821647284 2.8282565407653299516
3600 2.2866271190849101203 3.1928663248624000737
3700 2.3374758058131521743 3.4198958616927899179
3800 2.3451271213975384278 3.5931611821332700707
3900 2.3219465013012596799 3.4931730991631000371
4000 2.300921647147173843 3.6881797588472400307
4100 2.3453173251939642974 5.1929365878821798219
4200 2.3937338206219656023 5.8514189495599095991
4300 2.461086371605853973 5.7831945341357302581
4400 2.5190208005166221383 6.5898810143810298001
4500 2.6048775519580034121 7.0455344044033196838
4600 2.7012853671580261405 7.6978655903327304344
4700 2.7055702948254189977 7.8778350244875099406
4800 2.713773265067772833 7.2121090756751602413
4900 2.7093953535960895174 7.3888880896831299339
5000 2.6700651690328585097 7.2209642418036903422
5100 2.6700163143809190203 6.5693840902130000714
5200 2.6754284566691906022 5.3838123266153603552
5300 2.6644001287804148781 4.4062787612867699849
5400 2.6484381298649615211 3.2593218251143700748
5500 2.6181383158838040792 2.8627324126447097896
5600 2.6443332615496824012 2.594392924704440162
5700 2.7290798357561545373 3.3774469294013300669
5800 2.8165252738515955677 4.0783114349460003467
5900 2.9060150323396145566 4.29983775422342962
6000 2.9536683910413024101 4.3929280756276902764
6100 3.0147531986708018259 4.3474860473955496687
6200 3.1011017574225179239 4.0550836485632499873
6300 3.2740094212802222096 4.2125746219280202354
6400 3.4200918860133326938 4.4562999844453896614
6500 3.5363558855420049731 5.2068562138333902567
6600 3.5642488320555432146 5.8810684396428696274
6700 3.5642247643292503945 5.9172606731709400663
6800 3.5222349161586228306 5.8445826327699297309
6900 3.4477459284748217527 5.5628074056409202441
7000 3.3585587404089545238 4.6394344643488398816
7100 3.3085018625482756072 3.7509289526897902078
7200 3.2617132652424207784 3.3461502884111800071
7300 3.2496280179011671763 3.1083981048250199919
7400 3.2366452023561098628 3.5859419109719201657
7500 3.2332465502623541909 3.623763231946400154
7600 3.2054977728333819975 4.0680141029335903369
7700 3.2603589078564962911 4.4019273180787799049
7800 3.2563270230881129486 4.7956462910075501327
7900 3.2661734996004083698 5.8603975535029997346
8000 3.2909021996972782631 6.2653958581411801632
8100 3.2499696960630202192 5.7260418632044896015
8200 3.1413921634470405309 5.0086156478210499543
8300 3.0194064747915696501 5.0588130983906696159
8400 2.9384693973686708546 5.1324817722748097282
8500 2.8208685129949033765 4.6517936071712799873
8600 2.8030151842421942021 3.9667604058728898053
8700 2.7348979461707765282 3.2947044199686201793
8800 2.7019090133572527535 3.395482003057340048
8900 2.647201117247522717 3.1198461777910599935
9000 2.5612591909589088601 3.7965705126306099615
9100 2.4378374057189815538 4.6072582418437404428
9200 2.5025837109646422718 5.0471060117991202176
9300 2.5430532448659857181 4.6478315164775700907
9400 2.5055096684962849807 3.6409989204354498149
9500 2.4823649347755711858 3.1471009195227099831
9600 2.5360614975896722534 3.7539072742980699182
9700 2.5632793395919173385 3.769045047180480168
