Step Rg Re
0 14.387011759777749376 48.862243947657198362
100 14.378126198984212181 48.600477811239898074
200 14.210842134389336522 47.213519966464296829
300 13.908473673447748098 45.811648503867701265
400 13.497360739453087675 44.045915517919496551
500 12.995877314151943693 42.062917389763299525
600 12.439445484883947302 39.914314051508299031
700 11.849908633254603529 37.200634474572702004
800 11.243412029257804363 34.116858931892203088
900 10.604517571016291555 31.393670859593100886
1000 9.9396044908046974342 28.625063440152700878
1100 9.2606004981429883571 25.948454424149801412
1200 8.5607913446876686692 23.309039987245800063
1300 7.8487005600117498716 20.800776658515800932
1400 7.1202136570682537098 18.444981624426301181
1500 6.4046352781919733133 16.048680572859101545
1600 5.692006109226475985 13.230000644918600727
1700 5.021456043828629312 10.178726466841499843
1800 4.3742826681812623235 8.3144644144904003014
1900 3.7247051725574151781 6.990440959326179815
2000 3.1340279975518994249 4.1847506992475098642
2100 2.6616834885126037236 2.4624385876108600968
2200 2.2946697157812363521 1.2281518723665298953
2300 2.1072511178389521369 1.523811047425259968
2400 2.1032131747061804106 2.1007653077007097941
2500 2.3037849893675765856 2.8363022194112001984
2600 2.4192670135641791695 4.1542658075478495761
2700 2.5154909758541590392 5.1351498738855800852
2800 2.4879292282483906895 6.7564692783961097788
2900 2.4670480125996894216 7.4249005232704901047
3000 2.5560783220994554021 7.4051183217695095706
3100 2.5077527791796434542 6.933815627543130411
3200 2.3769263700953433549 6.4497049225229297065
3300 2.3025501952197102717 6.5949520150927600781
3400 2.2181367443520865201 6.1146068400023096956
3500 2.1145489204993093146 5.3273463017863598168
3600 2.2351878887284044595 4.7237639354795604163
3700 2.3422723097146262994 3.8987372027837801092
3800 2.294131061236648339 3.8562485716718302164
3900 2.2106000905337985785 3.716752471777629907
4000 2.1177221971305950632 2.564786311521800144
4100 2.0894622291773852218 1.6668001074343798962
4200 2.1751573218891517847 2.1996788766564399076
4300 2.194269904414658523 2.2544220880813798935
4400 2.1555165493823800205 2.3121858834604598343
4500 2.120308115366140278 2.3363060003991398261
4600 2.1645491314278122452 1.7596135327578799057
4700 2.2268624532264014171 1.933548042754690055
4800 2.2503156045268326579 2.4459754822827299847
4900 2.2080700136335038586 3.6180272033865001902
5000 2.2318787801183406216 4.0806050031726304184
5100 2.2358247852674972833 4.9637387261815701933
5200 2.2289914117825189166 4.9236603414210495799
5300 2.256548012161039285 6.3088685269308903969
5400 2.2601060627975062545 6.7173008909145996981
5500 2.2638729234460175377 6.3392202283457299572
5600 2.2646547636807681236 7.0828251615353501336
5700 2.2784850853625151501 7.4921307463398401083
5800 2.3312520049371134867 7.3990146667935299263
5900 2.4169434326928320722 6.4347841791163302716
6000 2.4767715838382229343 6.5240550103624999068
6100 2.5860249836527038347 7.6554075255331097694
6200 2.6682638859880229987 6.5273060363532495742
6300 2.624046440318170248 6.2388857600378599955
6400 2.5224264963235496495 4.7093271813101500456
