Step Rg Re
0 14.395841717566398188 48.889971196788998498
100 14.386878274246051035 48.63077786119639967
200 14.219632084900727165 47.257837623528800464
300 13.917808505582044631 45.936923602687500079
400 13.507545452738492386 44.099917477541197286
500 13.00960133615684633 42.155685034980699299
600 12.459810485683004089 39.994226055748001158
700 11.879803036298426377 37.455437054828699672
800 11.278403906094769837 35.207226150507601403
900 10.644866368335687667 32.406106800195800588
1000 9.9914087441175585269 29.92488830183809867
1100 9.3204537093238872814 27.965326466204199818
1200 8.6360988114892407452 25.88312307216019903
1300 7.9311780837697281044 23.524659911442601157
1400 7.22570795924307685 21.077194647666701144
1500 6.5273633930329904018 18.990455784739999956
1600 5.8099456981496739871 16.606207239340200488
1700 5.1113293632511576092 13.889244997822599359
1800 4.4070356030828028437 11.495499295138099427
1900 3.7714839432124542817 9.4505742607668103972
2000 3.1898724873351387288 7.4844247357008297783
2100 2.6420377217093697908 5.0186268930946198452
2200 2.2228889809112071241 3.2235553495232398546
2300 2.0163508125896276724 2.0586720061881997879
2400 2.1283412921828936959 2.3254776694081700228
2500 2.2509741204436712891 3.0141983608304800946
2600 2.2285684616802168279 3.7988524082487700184
2700 2.217967375370916816 4.2264810805145902606
2800 2.2504518956378509742 3.7192185276651801296
2900 2.3084029328717412533 3.6221613696360202006
3000 2.3824109151132151219 4.2418124147864704199
3100 2.4606791362387978594 5.0348230713433501649
3200 2.4942662048465562563 5.0342231521687201834
3300 2.5646377882596507192 4.5029901775563496713
3400 2.6486808275438127325 3.5634132202892998542
3500 2.7202477580700183957 3.3090779266328098629
3600 2.6897821532676520206 4.0155548421011202365
3700 2.6583083216747995792 4.8968793871409301843
3800 2.6275971256275565402 5.3803379331499403548
3900 2.6223096317919596387 5.5335071910888498081
4000 2.5984191179430915497 5.2146726809235302014
4100 2.5033902361491540134 5.0827716305853796186
4200 2.4992204701075233508 4.5959738317293998833
4300 2.5092290675460260374 3.6998666996842501931
4400 2.439655197367305739 2.3356606986084900157
4500 2.3967598811805683745 2.1558952385719201139
4600 2.4266293834479313318 2.7922842523917301705
4700 2.4519530056090612646 3.2516658265911098091
4800 2.4440284463394688075 3.193287800940740162
4900 2.4300999033113082071 3.6542540152143900833
5000 2.4441914184257540477 4.8201202724437202107
5100 2.4285083078006408641 6.2642613127541197926
5200 2.446485655509601731 6.4916524952456899911
5300 2.5229874985098064144 6.5250446935956398775
5400 2.6484043590017796177 7.4708467046767497166
5500 2.749255831196986577 8.2448270224270299167
5600 2.841842858847404063 8.4934771294870294867
5700 2.9150453058605148016 9.338144426290689637
5800 2.9515257677445490003 9.7815677375467195986
5900 3.0549553525931720799 10.352448715132199553
6000 3.0468771118372197648 10.562205097754999272
6100 3.0185454670779852115 10.592419634086800428
6200 3.04251788535707135 10.185627115639299234
6300 3.0493762952481286987 9.6445102887557592197
6400 3.0574974672922214936 9.143674010721900558
6500 3.0361315818565413061 8.5697016881432404034
6600 3.0206410463542132661 7.8437327122149298475
6700 2.9631097392541461133 7.0184186318232804069
6800 2.8657487544857755957 6.2505599281899097974
6900 2.7786876640654774029 5.851178270402639825
7000 2.6495732729966392505 5.7941956055414696181
