Step Rg Re
0 14.391429451868193112 48.87611596900219979
100 14.382505504493972026 48.615641288699002587
200 14.215242443375256443 47.235770003916201176
300 13.913158400139243653 45.876062557568602074
400 13.502444193042059339 44.07164878840119826
500 13.002743328695617109 42.116031491717698998
600 12.450440931381491438 39.976667062463199898
700 11.870040152138104261 37.350236910472503382
800 11.268286646577596599 35.207155509462097598
900 10.638240963912119597 32.705445345286499048
1000 9.987090170145901169 29.912167279586501678
1100 9.3177411126208831149 27.422990749325098392
1200 8.6269704472559389785 24.772182165039900781
1300 7.9372450327376116164 22.15568446922110013
1400 7.2461288920391337953 20.305951926245299433
1500 6.5591733699026280036 18.599545747505299431
1600 5.8753034970175042062 16.710907655894398971
1700 5.2333297349622247552 14.784782091874999921
1800 4.5958425711338879438 12.462985480852200482
1900 4.0056407689641382319 10.625687258960200055
2000 3.4971171614556944007 8.0509394095905104649
2100 3.01849781098519232 6.0784927850670298355
2200 2.5363552036275409662 4.0851874119983300204
2300 2.1043355653132662653 2.189460290889610139
2400 1.9932176255011815336 2.900274618612929789
2500 2.1290207635250615326 4.1940302276747001287
2600 2.2366363364803611979 4.756765984619380383
2700 2.3221799013626411856 5.3366874334723899409
2800 2.4263353036900490167 5.9455426652046696745
2900 2.476476295538811101 5.1726413745802704014
3000 2.4831555472335162804 4.5425426575077398894
3100 2.4516163158200714456 4.109999000267380076
3200 2.3916214815702625529 3.4855515240098697838
3300 2.379635031700701564 3.1752821733712299768
3400 2.3998993170581104373 2.7001925580619201561
3500 2.4292118598912590954 2.4761228067749598836
3600 2.4398477076736213576 2.3836604726437098378
3700 2.400168792048215316 2.0812735861882698529
3800 2.4948158206188892905 2.3060104394949001438
3900 2.4917160823251514046 2.8027825379386102078
4000 2.4259187245182545212 2.7519271299948799836
4100 2.3876226037118839507 3.7690178538572300937
4200 2.3179157962197467491 3.9370091350828397836
4300 2.339291650143841661 2.8971439528698201826
4400 2.3399533406719350559 3.2360544254918499618
4500 2.303109918301274206 4.6516787377611397147
4600 2.2873434797855245471 5.0451140918438399652
4700 2.1837648378810690097 5.072792405419259687
4800 2.2436228757672900258 5.2403194480450503434
4900 2.336062306042535841 5.8078635597345300567
5000 2.3936134198704821507 6.1764387707207699663
5100 2.4565060880156659451 5.7648480545770901529
5200 2.4706615660568029824 6.0228990493346303836
5300 2.4542344007553396068 5.0503941754655397034
5400 2.4207356609612720177 5.0064112947740300186
5500 2.3943735653107678374 5.4371631900384098657
5600 2.3927796327313970437 4.4309267744909197617
5700 2.3285685556471609203 3.4574956596930799257
5800 2.2952120648257365865 3.8506763949538798109
5900 2.2455103555510125268 4.1298111197991298482
6000 2.2858841601251356224 4.2050207855090500075
6100 2.3318354275566095524 4.4357254908450203246
6200 2.3512228255806082444 4.6886478741925703417
6300 2.4093367047165124006 5.5338031699972400901
6400 2.4229148557491360094 5.6462546449134496385
6500 2.3825405396866399244 5.4262896695465796526
6600 2.4290837550167858616 5.1797020209885999975
6700 2.4806666910648504931 5.101697372595229929
6800 2.4534280044907958995 5.6686249114976003938
6900 2.4118068771778200521 6.1096957979848003362
7000 2.3744645708041147714 5.8846672217348396927
7100 2.3531862289823974876 5.8363961032279698671
